Date,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT
2014-10-01,124.66999816894533,383.614990234375,16804.69921875,1.262833595275879,1214.5999755859375,45.900001525878906
2014-10-02,124.16999816894533,375.0719909667969,16801.099609375,1.2624191045761108,1214.199951171875,45.7599983215332
2014-10-03,126.36000061035156,359.5119934082031,17009.69921875,1.2670577764511108,1192.199951171875,46.09000015258789
2014-10-04,,328.8659973144531,,,,
2014-10-05,,320.510009765625,,,,
2014-10-06,126.26000213623048,330.0790100097656,16991.900390625,1.2513607740402222,1206.699951171875,46.09000015258789
2014-10-07,123.31999969482422,336.18701171875,16719.400390625,1.264606237411499,1211.699951171875,45.52999877929688
2014-10-08,124.9800033569336,352.94000244140625,16994.19921875,1.266800880432129,1205.300048828125,46.77999877929688
2014-10-09,122.76000213623048,365.0260009765625,16659.19921875,1.2743074893951416,1224.5999755859375,45.84999847412109
2014-10-10,121.5,361.56201171875,16544.099609375,1.2689067125320437,1221.0,44.02999877929688
2014-10-11,,362.2990112304688,,,,
2014-10-12,,378.5490112304688,,,,
2014-10-13,120.4499969482422,390.41400146484375,16321.099609375,1.263982892036438,1229.300048828125,43.650001525878906
2014-10-14,122.29000091552734,400.8699951171875,16315.2001953125,1.272394061088562,1233.5999755859375,43.72999954223633
2014-10-15,120.19000244140624,394.7730102539063,16141.7001953125,1.2639029026031494,1244.0999755859375,43.220001220703125
2014-10-16,120.29000091552734,382.5559997558594,16117.2001953125,1.2821663618087769,1240.5,42.7400016784668
2014-10-17,123.23999786376952,383.7579956054688,16380.400390625,1.280442476272583,1238.300048828125,43.630001068115234
2014-10-18,,391.4419860839844,,,,
2014-10-19,,389.5459899902344,,,,
2014-10-20,124.30999755859376,382.8450012207031,16399.69921875,1.274957299232483,1244.0,44.08000183105469
2014-10-21,127.12000274658205,386.4750061035156,16614.80078125,1.2795250415802002,1251.0,44.880001068115234
2014-10-22,121.4499969482422,383.1579895019531,16461.30078125,1.2714719772338867,1244.800048828125,44.380001068115234
2014-10-23,122.02999877929688,358.4169921875,16677.900390625,1.2641425132751465,1228.5,45.02000045776367
2014-10-24,122.23999786376952,358.3450012207031,16805.400390625,1.2654062509536743,1231.199951171875,46.130001068115234
2014-10-25,,347.27099609375,,,,
2014-10-26,,354.7040100097656,,,,
2014-10-27,122.12000274658205,352.989013671875,16817.900390625,1.2676681280136108,1229.0999755859375,45.90999984741211
2014-10-28,123.61000061035156,357.6180114746094,17005.80078125,1.270147681236267,1229.199951171875,46.4900016784668
2014-10-29,123.08000183105467,335.59100341796875,16974.30078125,1.273836612701416,1224.300048828125,46.619998931884766
2014-10-30,123.81999969482422,345.30499267578125,17195.400390625,1.2632802724838257,1198.0999755859375,46.04999923706055
2014-10-31,124.91000366210938,338.3210144042969,17390.5,1.2613362073898315,1171.0999755859375,46.95000076293945
2014-11-01,,325.7489929199219,,,,
2014-11-02,,325.8919982910156,,,,
2014-11-03,126.02999877929688,327.5539855957031,17366.19921875,1.250312566757202,1169.4000244140625,47.43999862670898
2014-11-04,125.83999633789062,330.49200439453125,17383.80078125,1.2495938539505005,1167.4000244140625,47.56999969482422
2014-11-05,124.22000122070312,339.4859924316406,17484.5,1.255256414413452,1145.4000244140625,47.86000061035156
2014-11-06,124.58000183105467,349.2900085449219,17554.5,1.2480031251907349,1142.300048828125,48.70000076293945
2014-11-07,124.4499969482422,342.4150085449219,17573.900390625,1.238006830215454,1169.5999755859375,48.68000030517578
2014-11-08,,345.4880065917969,,,,
2014-11-09,,363.2640075683594,,,,
2014-11-10,124.63999938964844,366.9240112304688,17613.69921875,1.246137022972107,1159.5999755859375,48.88999938964844
2014-11-11,125.36000061035156,367.6950073242188,17614.900390625,1.242992639541626,1162.800048828125,48.869998931884766
2014-11-12,125.87000274658205,423.5610046386719,17612.19921875,1.2475829124450684,1158.9000244140625,48.77999877929688
2014-11-13,128.52999877929688,420.7349853515625,17652.80078125,1.242992639541626,1161.0999755859375,49.61000061035156
2014-11-14,128.86000061035156,397.8179931640625,17634.69921875,1.2475982904434204,1185.0,49.58000183105469
2014-11-15,,376.1329956054688,,,,
2014-11-16,,387.8819885253906,,,,
2014-11-17,128.4199981689453,387.4079895019531,17647.80078125,1.251846432685852,1183.0,49.459999084472656
2014-11-18,130.66000366210938,375.197998046875,17687.80078125,1.2448959350585938,1196.699951171875,48.7400016784668
2014-11-19,131.61000061035156,380.5549926757813,17685.69921875,1.253337025642395,1193.5999755859375,48.220001220703125
2014-11-20,131.6999969482422,357.8399963378906,17719.0,1.2540757656097412,1190.699951171875,48.70000076293945
2014-11-21,132.77999877929688,350.8479919433594,17810.099609375,1.2545005083084106,1197.5,47.97999954223633
2014-11-22,,352.9200134277344,,,,
2014-11-23,,367.572998046875,,,,
2014-11-24,134.61000061035156,376.9010009765625,17817.900390625,1.2375012636184692,1195.5,47.59000015258789
2014-11-25,134.80999755859375,375.3479919433594,17814.900390625,1.2433171272277832,1197.0999755859375,47.470001220703125
2014-11-26,134.77999877929688,368.3699951171875,17827.80078125,1.24806547164917,1196.5999755859375,47.75
2014-11-27,,369.6700134277344,,1.2505940198898315,,
2014-11-28,134.36000061035156,376.4469909667969,17828.19921875,1.246199131011963,1175.199951171875,47.810001373291016
2014-11-29,,375.4909973144531,,,,
2014-11-30,,378.0469970703125,,,,
2014-12-01,132.38999938964844,379.2449951171875,17776.80078125,1.2438275814056396,1218.0,48.619998931884766
2014-12-02,132.27999877929688,381.3150024414063,17879.599609375,1.247007131576538,1199.199951171875,48.459999084472656
